id,approximation,detail_level_1,detail_level_2,detail_level_3,detail_level_4
tt0490215,[ 1.25447422 -3.74522003],[-5.79668154  1.94791325],[-0.55706858 -0.6323578   1.82549438  0.        ],"[ 0.18873333 -0.9335222  -4.8032465  -1.1153815  -0.04083931  0.11308761
  0.        ]","[ 0.04597833 -0.03039163  0.07676717 -1.15744269  0.20777614 -3.42376148
  1.48701776  0.40214607  0.10951889  0.87043154  0.02100834  0.33384731
  0.        ]"
tt0493405,[ 2.40916376 -4.34624299],[5.80032007 0.08136669],[3.52983468 0.43324957 0.04594817 0.        ],"[ 3.51348422  1.30592402  0.28270965 -0.06214037 -0.04536727 -0.01499338
  0.        ]","[ 3.45347208e+00 -7.74068537e-01  1.79485650e+00 -3.96279865e-01
  1.73259138e-01  8.42959782e-03  2.58671601e-02  9.65304458e-03
 -2.19216959e-03  5.36480579e-02 -6.47836839e-04  3.46352872e-02
  0.00000000e+00]"
tt0783640,[ 2.73078631 -4.98089112],[5.77803772 0.16220559],[4.0207909  0.76818877 0.07104645 0.        ],"[ 3.2661619   0.91758798  0.33833624  0.06478773 -0.0621341  -0.00486066
  0.        ]","[ 3.05493643e+00 -1.27114315e-01  7.86999621e-01 -1.32745550e-01
  1.85199152e-01 -1.39110230e-02  9.54539027e-02  3.89459747e-02
 -2.97453039e-03  6.85731123e-02  3.45941959e-03  5.67198124e-02
  0.00000000e+00]"
tt0787474,[ 2.52927702 -4.66061988],[4.79837734 0.21102095],[1.78875994 1.06256822 0.13995544 0.        ],"[ 3.49073581e+00  9.43131770e-01  2.28311826e-01 -1.37254857e-01
 -2.07503792e-01 -2.86091283e-03  0.00000000e+00]","[ 3.43113924e+00 -1.46057537e+00  3.01818414e+00 -1.58642163e+00
  9.93728966e-01 -4.70558211e-01  6.27218034e-02  4.18914271e-03
  1.59325371e-03  1.11093817e-01  2.45134051e-02  3.58710476e-02
  0.00000000e+00]"
tt0790636,[-1.38209762 -2.3046352 ],[-0.62215749  1.80609143],[-2.86173205  1.27810745 -0.12068106  0.        ],"[-0.50849489 -1.30095186 -3.86704134 -3.87214941 -3.16717904 -0.84046686
  0.        ]","[ 0.27318837 -1.17601739  0.89957113 -2.08892072  0.50569916 -1.75320075
 -0.26448809  2.61594378 -1.81489602  2.53679605 -1.05531156  1.78563621
  0.        ]"
tt0810819,[-0.54469237 -2.28883949],[-1.89880748  0.38008819],[-2.23086256 -0.48588304 -1.46256682  0.        ],"[-0.17148563 -0.26730434 -1.06875769 -2.57689295 -2.06634479 -1.08226428
  0.        ]","[ 0.34538328 -0.79299123  0.25415348 -0.45100369  0.16273825 -0.58160686
  0.17034437  1.67248375 -0.74113688  2.66498561 -1.53165602  2.05448717
  0.        ]"
tt0816442,[-1.29237088 -0.42694618],[-1.381374    0.02949203],[-2.07291901  2.76386135 -0.20910234  0.        ],"[-0.47137413 -0.31080807 -1.17401602 -6.08891156 -1.84779456 -0.7618751
  0.        ]","[ 0.05673901 -0.81131525  0.40433459 -0.60874401 -0.88138174  1.35846357
 -1.54002117  1.24178697 -0.5556392   1.38490418 -0.52240222  0.44763344
  0.        ]"
tt0816692,[ 2.79186011 -5.28904539],[3.68882621 0.41880667],[2.23679377 1.11235594 0.54298929 0.        ],"[1.81708877e+00 2.88519299e+00 3.08968038e-01 8.44346086e-01
 1.20139756e-01 2.47188871e-03 0.00000000e+00]","[-5.22058357  1.27509675 -0.58617476  0.0697378   1.01583593 -0.63182592
  1.38243338 -0.43366154  0.64489749 -0.42402161  0.15265732 -0.15057932
  0.        ]"
tt0831387,[ 2.17972502 -3.99445556],[4.97625576 0.15349996],[3.82140718 0.29502506 0.08259971 0.        ],"[ 4.68601213  1.19449472 -0.03292599 -0.06585894 -0.02925333  0.01140053
  0.        ]","[ 3.94286524e+00 -3.80839901e-01  1.22987395e+00 -4.39808365e-01
  1.62613178e-01 -1.70244978e-01  4.45928821e-02 -3.07516002e-02
  1.07723447e-03  5.49859518e-02  8.91680982e-03  3.20963072e-02
  0.00000000e+00]"
tt0837563,[ 2.32458758 -4.18518142],[5.31478109 0.06760449],[3.45771772 0.47762228 0.03872044 0.        ],"[ 4.1141131   0.64358107  0.23126457  0.0114224  -0.01626123 -0.01236407
  0.        ]","[ 4.17725121 -0.51042827  1.42203748 -0.59590052  0.2276656  -0.13186403
  0.02340958  0.04508349  0.00629002  0.03838018 -0.00426204  0.03092572
  0.        ]"
tt0859635,[ 1.95230729 -3.63949524],[4.04670076 0.21693436],[3.92764755 0.10018235 0.1371892  0.        ],"[ 4.63554379e+00  4.53925926e-01  3.32724545e-03 -4.55126449e-01
 -1.67563658e-01 -3.88934306e-02  0.00000000e+00]","[ 4.80141708 -0.16799655  0.94056325 -0.37741342  0.13954055 -0.1250884
  0.04934765  0.15051726 -0.01788675  0.15082719 -0.02542672  0.10531795
  0.        ]"
tt0864835,[ 2.93294825 -5.50398962],[4.54708687 0.37267636],[2.39652588 0.87693213 0.18830445 0.        ],"[ 3.1836271   1.14807379 -0.60321638 -0.58552993 -0.12139645  0.09611717
  0.        ]","[ 3.14136356 -1.20821881  2.87693164 -1.43978505  0.46876492 -1.00052113
  0.14451366  0.03350314  0.04403618  0.15348956  0.00535483  0.0672945
  0.        ]"
tt0870154,[ 2.68474317 -5.27431741],[5.23001048 0.64470942],[3.73109521 0.48556569 0.44174876 0.        ],"[ 3.87960965  0.76647318 -0.33553063 -0.60166557 -0.59809389 -0.19802283
  0.        ]","[ 3.37668839e+00 -2.31268983e-01  1.50285509e+00 -7.72369587e-01
  2.92543783e-01 -5.59996693e-01  1.14329023e-01  6.36917878e-02
  5.32174720e-04  6.01598553e-02 -6.07958561e-02  3.39427335e-01
  0.00000000e+00]"
tt0884726,[ 2.25966335 -4.00302127],[ 5.27627907 -0.01820317],[ 3.1455917   0.53958119 -0.01436356  0.        ],"[ 3.9801986   1.70950287  0.41745009  0.05816017  0.03254458 -0.02421001
  0.        ]","[ 3.41689513e+00 -9.24212582e-01  2.20314263e+00 -4.34392808e-02
  4.16851258e-01  9.88763996e-02 -5.62945101e-04  8.26367308e-03
  6.98435495e-03  6.63801398e-03 -5.75580342e-03  1.42947442e-02
  0.00000000e+00]"
tt0884732,[ 2.75785836 -5.21354946],[4.77816651 0.39945877],[3.31856843 0.38722147 0.29277307 0.        ],"[ 4.22185479  0.62453036 -0.79073637 -0.6737426  -0.06813941 -0.02798357
  0.        ]","[ 3.00415966e+00 -1.13738118e+00  2.12606639e+00 -1.22396153e+00
  7.41631289e-02 -7.90363503e-01  1.67991517e-01  2.32008572e-02
  1.03593235e-01  2.34661759e-01 -4.08956882e-04  1.24530349e-01
  0.00000000e+00]"
tt0903657,[ 2.30999395 -0.42656348],[3.02577977 0.30391429],[ 1.98375089  0.07418881 -0.12060937  0.        ],"[ 2.28631981 -0.90051432 -2.71102332 -2.1093429  -0.91705884 -0.36001664
  0.        ]","[ 2.79279399 -1.48968156  2.7884035  -3.13358945  1.01287639 -1.9711405
  0.1389776   0.36288749 -0.31249432  0.7166269  -0.22169985  0.46868709
  0.        ]"
tt0918940,[ 3.15277841 -5.74574779],[5.75486547 0.18103936],[3.67624534 0.90982912 0.14893039 0.        ],"[3.5842565  0.97108517 0.03406365 0.10501807 0.06275068 0.01141095
 0.        ]","[ 1.69288565 -0.33546217  1.65857233 -0.72541318  0.3115783  -0.38055791
  0.15256031  0.00917856  0.06657946  0.05196339  0.00803364  0.03247732
  0.        ]"
tt0974015,[ 2.38504736 -4.33936799],[5.23573692 0.12765059],[4.65544154 0.42509547 0.02134642 0.        ],"[ 3.16683653  0.67088439 -0.18159598 -0.10865472  0.03137908  0.01374848
  0.        ]","[ 3.75878746e+00 -5.73813294e-01  1.54288747e+00 -7.05683414e-01
  2.16518929e-01 -3.65005598e-01  7.45589729e-02 -1.14065942e-02
  4.36162268e-02  5.95632592e-03 -1.32320938e-03  1.82835815e-02
  0.00000000e+00]"
tt0993846,[ 3.18474807 -6.45738534],[5.31474043 1.02292843],[4.10596945 0.58252569 0.73908171 0.        ],"[ 2.58189686  2.24407771  1.1042631   0.81987679  0.17540016 -0.33100176
  0.        ]","[ 0.78672954 -0.03880149 -0.06808157  0.02948398  1.18498972 -0.16248525
  0.99760055 -0.56420701  0.8947626  -0.60092415  0.02012301 -0.35660115
  0.        ]"
tt10011448,[-1.51335026 -1.35475365],[-1.82421015  1.10094159],[-0.05363645  0.85893297 -0.19618794  0.        ],"[-1.65978994 -0.2374569  -2.21376352 -2.18986057 -1.43951343 -0.46388717
  0.        ]","[ 0.52430052 -3.35548994  4.31754961 -3.80928313  0.40874794 -1.29113549
 -0.09578166  0.40320975 -0.56706883  1.03796805 -0.58096444  1.34361606
  0.        ]"
tt10016180,[ 2.37774611 -4.65321565],[3.67361882 0.54785758],[2.96688003 0.58686116 0.21211923 0.        ],"[ 3.84270971 -0.29068199 -0.27310844 -1.01997859 -0.38485665 -0.21932646
  0.        ]","[ 4.55135211 -1.21566043  1.49375024 -1.75500548  1.1805289  -0.99604568
  0.10229349  0.15439003 -0.01615852  0.4749792  -0.08770389  0.37079346
  0.        ]"
tt10039344,[ 2.665028   -4.85204952],[5.61471511 0.1468568 ],[2.70399618 0.87281623 0.10651636 0.        ],"[ 2.73708714  1.19424429  0.06855757 -0.02201889 -0.02653245 -0.03189762
  0.        ]","[ 3.72816689 -1.42181844  2.18460444 -1.20864909  0.6405835  -0.4476921
  0.08040819  0.00968524  0.02154723  0.11815    -0.01152605  0.05914922
  0.        ]"
tt10059518,[ 2.62147146 -5.62872458],[3.61919266 1.24499685],[2.6537584  0.82142717 0.29948185 0.        ],"[ 3.29287404  0.37038256 -0.62238776 -1.34997146 -0.74000518 -0.50219047
  0.        ]","[ 3.82375258 -1.57360716  2.50866673 -1.60637825  1.2869028  -1.23325452
  0.15008688  0.54943146 -0.07808312  0.92680309 -0.24203827  0.94155994
  0.        ]"
tt10098448,[ 3.0759093 -5.8170119],[4.97536285 0.44836548],[2.84623678 0.90133494 0.36371331 0.        ],"[ 3.51234333e+00  9.81843278e-01 -1.87479336e-01 -2.72409266e-01
 -8.25532919e-02  2.48134563e-03  0.00000000e+00]","[ 3.38210795 -0.60088675  1.90920129 -0.99577458  0.36261263 -0.61055717
  0.16147085  0.04259597  0.03835407  0.18527103  0.0085291   0.09541079
  0.        ]"
tt10160976,[ 2.49155762 -4.67280193],[4.90347127 0.31289935],[3.42634277 0.57093973 0.17205064 0.        ],"[ 4.05975589  0.59900875 -0.17538408 -0.26238897 -0.13147714 -0.02812348
  0.        ]","[ 4.04839712e+00 -6.40765533e-01  1.75081570e+00 -1.07157979e+00
  3.92963749e-01 -4.97557125e-01  1.13864665e-01  2.45448492e-02
  3.40646664e-02  1.81790163e-01  3.49749622e-03  1.11386901e-01
  0.00000000e+00]"
tt10195452,[ 2.37279443 -1.86456871],[1.38567645 0.85775935],[ 2.96297198 -0.31664352 -0.51471941  0.        ],"[ 1.64013241 -1.22697913 -1.64521625 -2.31302778 -2.85243507 -0.55603441
  0.        ]","[ 2.35209003 -2.84253542  3.75226619 -3.26640472  0.29712405 -0.2247005
 -0.29942553  0.08195667 -0.92294287  1.00120651 -0.44079376  1.43234064
  0.        ]"
tt1020072,[ 1.79722016 -4.07834739],[-5.44572617  1.13565771],[-1.2989901  -0.02318259  0.72066226  0.        ],"[ 0.11399865 -1.88571725  0.45451367  1.60686488 -0.1913451  -0.27658274
  0.        ]","[ 0.09862177 -0.08914232  0.16159034 -2.93092496  2.78999923 -2.03265244
  2.93535198 -1.39811906  0.43426375  0.05509933 -0.0507739   0.24784842
  0.        ]"
tt1025100,[ 2.49676586 -4.46487033],[5.3113761  0.03365418],[3.88551245 0.64301256 0.03506496 0.        ],"[ 4.35264105  0.89641902  0.02511693  0.09519703  0.01031974 -0.0062386
  0.        ]","[ 3.24463983e+00 -2.43904879e-01  1.47889405e+00 -6.78120161e-01
  2.13133017e-01 -2.36676142e-01  7.54673664e-02  1.32336364e-02
  1.61182568e-02  2.25790073e-02  9.85814935e-04  1.24155969e-02
  0.00000000e+00]"
tt1029360,[ 2.18643578 -3.91212938],[5.34752887 0.03231314],[4.25962561 0.33692956 0.02742047 0.        ],"[ 4.81870542e+00  9.21440485e-01  1.56629071e-01  3.49192461e-02
 -1.18106049e-02  4.76365957e-03  0.00000000e+00]","[ 2.92233432e+00 -5.57312332e-01  1.20246916e+00 -2.65938419e-01
  1.15922138e-01 -2.46542747e-02  1.20703550e-02  1.57945895e-02
  1.12003785e-03  1.78820586e-02 -1.78462791e-03  3.34509010e-03
  0.00000000e+00]"
tt10298810,[ 2.43642171 -4.41826496],[5.4539812  0.11166247],[4.31709348 0.47465268 0.08611794 0.        ],"[4.25940917e+00 1.07502943e+00 1.49518868e-01 5.55970673e-03
 9.35466972e-04 1.58064888e-02 0.00000000e+00]","[ 2.97891705 -0.10602967  1.02329162 -0.11665234  0.15434454 -0.07728715
  0.03584336  0.00877357  0.01450806  0.02912606  0.01006105  0.01673891
  0.        ]"
tt10298840,[ 2.46719292 -4.75393609],[3.96459216 0.47290545],[4.04441046 0.51425814 0.20715552 0.        ],"[ 5.53813049  1.85987277  1.21811364  0.81772225 -0.01255158  0.12242172
  0.        ]","[-1.18192212e+00  1.13460740e+00 -8.84310877e-01 -2.14325898e-02
  9.94335552e-01 -1.07806171e-01  4.46342967e-01  1.52436837e-01
 -9.62538801e-02  5.94417976e-02  6.94731029e-02 -8.70373653e-04
  0.00000000e+00]"
